[00:11:26] Player;Team;Played Time;Result;Number of Matches Played;ADD;DD;DB;DT;D;DA;E;ED;EK;FB;HD;HDD;MK;OK;OA;SK;WA
[00:11:27] Mei;Team 2;525;0;1;3670.19;0;713.45;2180.03;7;0;18;0;0;5;0.96;3524.87;0;11;0;0;0.41
[00:11:27] Cassidy;Team 2;525;0;1;4606.96;0;0;3243.90;8;0;13;0;0;6;0;4456.96;0;9;0;0;0.45
[00:11:27] Lúcio;Team 2;525;0;1;1944.09;0;596.40;2945.89;10;18;10;0;0;1;3694.90;1867.59;0;7;7;0;0.36
[00:11:27] Mercy;Team 2;525;0;1;1057.42;0;0;2936.91;10;11;6;0;0;3;2060.78;999.82;0;5;4;0;0.59
[00:11:27] Ramattra;Team 2;525;0;1;5265.84;0;555.02;9485.82;8;0;13;0;0;8;0;5045.78;0;8;0;1;0.58
[00:11:27] Soldier: 76;Team 1;525;1;1;7895.03;522.46;0;2142.59;3;7;35;0;0;17;823.98;7029.34;0;26;0;1;0.59
[00:11:27] Symmetra;Team 1;525;1;1;3671.24;135.56;0;2305.34;5;0;24;0;0;8;8.64;3400.12;0;19;0;2;0.59
[00:11:27] Lúcio;Team 1;525;1;1;1851.43;165.60;0;2562.53;5;17;17;0;0;4;3984.43;1465.84;0;14;4;0;0.30
[00:11:27] Mercy;Team 1;525;1;1;72.47;0;0;2187.28;7;24;2;0;0;1;3231.76;72.47;0;2;18;0;0
[00:11:27] Orisa;Team 1;525;1;1;10026.49;1041.25;0;6722.92;3;0;35;0;0;13;0;8824.79;0;30;11;1;0.65
