[00:07:33] Player name|Number of matches played|Team|Match result|Bot or anonym|Damage|Healing|Mitigation|DT|Kills|Deaths|Assists|UE|UU|WA
[00:07:33] Kizaru|1|Team 1|1|False|6624|43|260|1262|68|0|0|2|2|0,42
[00:07:33] Widowmaker|1|Team 2|0|False|1556|0|0|2185|2|7|0|1|1|0,46
[00:07:33] Sojourn|1|Team 2|0|False|2817|0|0|2472|3|7|0|1|1|0,41
[00:07:33] Mercy|1|Team 2|0|False|75|2377|0|2602|0|7|1|1|1|0,45
[00:07:33] Moira|1|Team 2|0|False|721|2453|0|2324|0|8|1|1|1|0
[00:07:33] Zarya|1|Team 2|0|False|2353|0|2705|3480|0|7|0|0|0|0,29
[00:07:33] Torbjörn|1|Team 1|1|False|4056|0|0|502|75|0|0|1|1|0,31
[00:07:33] Zenyatta|1|Team 1|1|False|2041|1808|0|1199|51|1|24|1|1|0,47
[00:07:33] Kiriko|1|Team 1|1|False|362|1863|0|1030|7|0|31|1|1|0,24
[00:07:33] Junker Queen|1|Team 1|1|False|2677|134|0|1180|48|0|0|1|1|0,23
